Address,Price,Walking Time to Centroid (minutes)
"1001 W 7th St, Fort Worth, TX",1190.0,16.696666666666665
"1012 Burnett St, Fort Worth, TX",1184.0,19.608333333333334
"929 Norwood St, Fort Worth, TX",1150.0,27.528333333333332
"3125 Sondra Dr, Fort Worth, TX",1182.0,34.093333333333334
"3125 Sondra Dr, Fort Worth, TX",1175.0,34.093333333333334
"555 Elm St, Fort Worth, TX",1106.0,34.72666666666667
"320 E Broadway Ave, Fort Worth, TX",1234.0,38.905
"336 Oakhurst Scenic Dr, Fort Worth, TX",1250.0,64.92166666666667
"4000 S Hulen St, Fort Worth, TX",998.0,79.59333333333333
"3224 Sandage Ave, Fort Worth, TX 76109",1250.0,88.485
"2501 Oak Hill Cir, Fort Worth, TX",1062.0,98.125
"2286 Ridgmar Plz, Fort Worth, TX",895.0,111.89
"2216 Ridgmar Plz, Fort Worth, TX",895.0,112.31166666666667
"5416 Chariot Dr, Fort Worth, TX 76107",1200.0,114.35833333333333
"2751 River Park Dr, Fort Worth, TX",1203.0,124.08
"3101 River Park Dr, Fort Worth, TX",1080.0,129.62166666666667
"4008 Fair Park Blvd, Fort Worth, TX 76115",1250.0,130.76000000000002
"6016 Westridge Ln, Fort Worth, TX",1000.0,132.075
"3450 River Park Dr, Fort Worth, TX",1125.0,142.51166666666668
"5400 Boca Raton Blvd, Fort Worth, TX",1117.0,162.565
"6196 Vega Dr, Fort Worth, TX 76133",1095.0,164.785
"5301 Overton Ridge Blvd, Fort Worth, TX",999.0,165.7866666666667
"5500 S Hulen St, Fort Worth, TX",1031.0,167.49166666666667
"6751 Westcreek Dr, Fort Worth, TX",799.0,178.68833333333333
"6351 Hulen Bend Blvd, Fort Worth, TX",795.0,186.13833333333332
"6351 Hulen Bend Blvd, Fort Worth, TX",1247.0,186.13833333333332
"7301 Oakmont Blvd, Fort Worth, TX",1109.0,191.37
"7000 John T White Rd, Fort Worth, TX",1150.0,197.39166666666668
"7000 John T White Rd, Fort Worth, TX",900.0,197.39166666666668
"3500 Renzel Blvd, Fort Worth, TX",845.0,200.08333333333334
"3500 Renzel Blvd, Fort Worth, TX",1199.0,200.08333333333334
"7901 Chandra Ln, Fort Worth, TX",1099.0,202.31666666666666
"7354 Harris Pkwy, Fort Worth, TX",1075.0,224.43666666666667
"2650 Western Center Blvd, Fort Worth, TX",1176.0,225.20833333333334
"2650 Western Center Blvd, Fort Worth, TX",1008.0,225.20833333333334
"7301 Ederville Rd, Fort Worth, TX",1110.0,234.97333333333333
"5344 Sycamore School Rd, Fort Worth, TX",1195.0,236.52166666666665
"8900 Randol Mill Rd, Fort Worth, TX",1175.0,293.4583333333333
"8900 Randol Mill Rd, Fort Worth, TX",905.0,293.4583333333333
"15848 Championship Pkwy, Fort Worth, TX",1199.0,515.725
